what,kind,bundleId,bundleVersion,description,time
error,log,,,"Could not read settings.xml, assuming default values",1318954851714
error,log,,,"Could not read settings.xml, assuming default values",1318954851714
error,log,,,"Could not read settings.xml, assuming default values",1318954851715
error,log,,,"Could not read settings.xml, assuming default values",1318954851716
error,log,,,"Could not read settings.xml, assuming default values",1318954851717
error,log,,,"Could not read settings.xml, assuming default values",1318954851718
error,log,,,"Could not read settings.xml, assuming default values",1318954851719
error,log,,,"Could not read settings.xml, assuming default values",1318954851720
error,log,,,"Could not read settings.xml, assuming default values",1318954851721
error,log,,,"Could not read settings.xml, assuming default values",1318954851721
error,log,,,"Could not read settings.xml, assuming default values",1318954851722
error,log,,,"Could not read settings.xml, assuming default values",1318954851723
error,log,,,"Could not read settings.xml, assuming default values",1318954851728
error,log,,,"Could not read settings.xml, assuming default values",1318954851729
error,log,,,"Could not read settings.xml, assuming default values",1318954851730
error,log,,,"Could not read settings.xml, assuming default values",1318954851731
error,log,,,"Could not read settings.xml, assuming default values",1318954851731
error,log,,,"Could not read settings.xml, assuming default values",1318954851732
error,log,,,"Could not read settings.xml, assuming default values",1318954851733
error,log,,,"Could not read settings.xml, assuming default values",1318954851734
error,log,,,"Could not read settings.xml, assuming default values",1318954851735
error,log,,,"Could not read settings.xml, assuming default values",1318954851736
error,log,,,"Could not read settings.xml, assuming default values",1318954851737
error,log,,,"Could not read settings.xml, assuming default values",1318954851738
error,log,,,"Could not read settings.xml, assuming default values",1318954851738
error,log,,,"Could not read settings.xml, assuming default values",1318954851739
error,log,,,"Could not read settings.xml, assuming default values",1318954851740
error,log,,,"Could not read settings.xml, assuming default values",1318954851741
error,log,,,"Could not read settings.xml, assuming default values",1318954851742
error,log,,,"Could not read settings.xml, assuming default values",1318954851743
error,log,,,"Could not read settings.xml, assuming default values",1318954851744
error,log,,,"Could not read settings.xml, assuming default values",1318954851745
error,log,,,"Could not read settings.xml, assuming default values",1318954851746
error,log,,,"Could not read settings.xml, assuming default values",1318954851746
error,log,,,"Could not read settings.xml, assuming default values",1318954851747
error,log,,,"Could not read settings.xml, assuming default values",1318954851748
error,log,,,"Could not read settings.xml, assuming default values",1318954851749
error,log,,,"Could not read settings.xml, assuming default values",1318954851750
error,log,,,"Could not read settings.xml, assuming default values",1318954851751
error,log,,,"Could not read settings.xml, assuming default values",1318954851752
error,log,,,"Could not read settings.xml, assuming default values",1318954851753
error,log,,,"Could not read settings.xml, assuming default values",1318954851754
error,log,,,"Could not read settings.xml, assuming default values",1318954851755
error,log,,,"Could not read settings.xml, assuming default values",1318954851756
error,log,,,"Could not read settings.xml, assuming default values",1318954851756
error,log,,,"Could not read settings.xml, assuming default values",1318954851757
error,log,,,"Could not read settings.xml, assuming default values",1318954851758
error,log,,,"Could not read settings.xml, assuming default values",1318954851759
error,log,,,"Could not read settings.xml, assuming default values",1318954851760
error,log,,,"Could not read settings.xml, assuming default values",1318954851761
error,log,,,"Could not read settings.xml, assuming default values",1318954851762
error,log,,,"Could not read settings.xml, assuming default values",1318954851763
error,log,,,"Could not read settings.xml, assuming default values",1318954851764
error,log,,,"Could not read settings.xml, assuming default values",1318954851765
error,log,,,"Could not read settings.xml, assuming default values",1318954851766
error,log,,,"Could not read settings.xml, assuming default values",1318954851766
error,log,,,"Could not read settings.xml, assuming default values",1318954851767
error,log,,,"Could not read settings.xml, assuming default values",1318954851768
error,log,,,"Could not read settings.xml, assuming default values",1318954851769
error,log,,,"Could not read settings.xml, assuming default values",1318954851770
error,log,,,"Could not read settings.xml, assuming default values",1318954851772
error,log,,,"Could not read settings.xml, assuming default values",1318954851776
error,log,,,"Could not read settings.xml, assuming default values",1318954851778
error,log,,,"Could not read settings.xml, assuming default values",1318954851778
error,log,,,"Could not read settings.xml, assuming default values",1318954851779
error,log,,,"Could not read settings.xml, assuming default values",1318954851780
error,log,,,"Could not read settings.xml, assuming default values",1318954851781
error,log,,,"Could not read settings.xml, assuming default values",1318954851782
error,log,,,"Could not read settings.xml, assuming default values",1318954851783
error,log,,,"Could not read settings.xml, assuming default values",1318954851784
error,log,,,"Could not read settings.xml, assuming default values",1318954851785
error,log,,,"Could not read settings.xml, assuming default values",1318954851786
error,log,,,"Could not read settings.xml, assuming default values",1318954851787
error,log,,,"Could not read settings.xml, assuming default values",1318954851787
error,log,,,"Could not read settings.xml, assuming default values",1318954851788
error,log,,,"Could not read settings.xml, assuming default values",1318954851789
error,log,,,"Could not read settings.xml, assuming default values",1318954851790
error,log,,,"Could not read settings.xml, assuming default values",1318954851791
error,log,,,"Could not read settings.xml, assuming default values",1318954851792
error,log,,,"Could not read settings.xml, assuming default values",1318954851793
error,log,,,"Could not read settings.xml, assuming default values",1318954851794
error,log,,,"Could not read settings.xml, assuming default values",1318954851794
error,log,,,"Could not read settings.xml, assuming default values",1318954851795
error,log,,,"Could not read settings.xml, assuming default values",1318954851796
error,log,,,"Could not read settings.xml, assuming default values",1318954851797
error,log,,,"Could not read settings.xml, assuming default values",1318954851798
error,log,,,"Could not read settings.xml, assuming default values",1318954851799
error,log,,,"Could not read settings.xml, assuming default values",1318954851800
error,log,,,"Could not read settings.xml, assuming default values",1318954851801
error,log,,,"Could not read settings.xml, assuming default values",1318954851802
error,log,,,"Could not read settings.xml, assuming default values",1318954851802
error,log,,,"Could not read settings.xml, assuming default values",1318954851803
error,log,,,"Could not read settings.xml, assuming default values",1318954851804
error,log,,,"Could not read settings.xml, assuming default values",1318954851805
error,log,,,"Could not read settings.xml, assuming default values",1318954851806
error,log,,,"Could not read settings.xml, assuming default values",1318954851807
error,log,,,"Could not read settings.xml, assuming default values",1318954851808
error,log,,,"Could not read settings.xml, assuming default values",1318954851809
error,log,,,"Could not read settings.xml, assuming default values",1318954851810
error,log,,,"Could not read settings.xml, assuming default values",1318954851811
error,log,,,"Could not read settings.xml, assuming default values",1318954851811
error,log,,,"Could not read settings.xml, assuming default values",1318954851812
error,log,,,"Could not read settings.xml, assuming default values",1318954851813
error,log,,,"Could not read settings.xml, assuming default values",1318954851814
error,log,,,"Could not read settings.xml, assuming default values",1318954851833
error,log,,,"Could not read settings.xml, assuming default values",1318954851834
error,log,,,"Could not read settings.xml, assuming default values",1318954851835
error,log,,,"Could not read settings.xml, assuming default values",1318954851836
error,log,,,"Could not read settings.xml, assuming default values",1318954851837
error,log,,,"Could not read settings.xml, assuming default values",1318954851838
error,log,,,"Could not read settings.xml, assuming default values",1318954851839
